Dt_Customer,YearsOfEnrollment,Age,Education,Marital_Status,Kidhome,Teenhome,Recency,Income,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Complain,Response,accepted_cmp_before,qtd_cmp_accepted,Cluster
2012-09-04,2,55,Graduation,Single,0,0,58,58138.0,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,0,0,5
2014-03-08,0,60,Graduation,Single,1,1,38,46344.0,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,0,0,2
2013-08-21,1,48,Graduation,Together,0,0,26,71613.0,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,0,0,4
2014-02-10,0,30,Graduation,Together,1,0,26,26646.0,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,0,0,2
2014-01-19,0,33,PhD,Married,1,0,94,58293.0,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,0,0,6
2013-09-09,1,46,Master,Together,0,1,16,62513.0,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,0,0,1
2012-11-13,2,41,Graduation,Divorced,0,1,34,55635.0,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,0,0,5
2013-05-08,1,28,PhD,Married,1,0,32,33454.0,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,0,0,5
2013-06-06,1,39,PhD,Together,1,0,19,30351.0,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,0,0,1
2014-03-13,0,64,PhD,Together,1,1,68,5648.0,28,0,6,1,1,13,1,1,0,0,20,0,0,1,0,0,0,0,0,1,2
2013-11-15,1,30,Graduation,Married,1,0,11,0.0,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,0,0,1
2012-11-13,2,36,Basic,Married,0,0,59,7500.0,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,0,0,6
2013-11-15,1,54,Graduation,Divorced,0,0,82,63033.0,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,0,0,6
2013-11-15,1,61,Master,Divorced,1,1,53,59354.0,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,0,0,2
2012-10-10,2,25,Graduation,Married,0,0,38,17323.0,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,0,0,6
2012-11-24,2,66,PhD,Single,0,0,23,82800.0,1006,22,115,59,68,45,1,7,6,12,3,1,0,0,0,1,0,1,1,2,4
2012-12-24,2,32,Graduation,Married,1,1,51,41850.0,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,0,0,6
2012-08-31,2,66,Graduation,Together,0,0,20,37760.0,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,0,0,1
2013-03-28,1,64,Master,Married,0,1,91,76995.0,1012,80,498,0,16,176,2,11,4,9,5,1,0,0,0,0,0,0,1,1,3
2012-11-03,2,27,2n Cycle,Single,1,0,86,33812.0,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,0,0,6
2012-08-08,2,30,Graduation,Married,0,0,41,37040.0,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,0,0,5
2013-01-06,1,34,Graduation,Married,1,0,42,2447.0,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,0,0,2
2012-12-23,2,63,PhD,Married,0,1,63,58607.0,867,0,86,0,0,19,3,2,3,9,8,0,0,0,1,0,0,0,0,1,2
2014-01-11,0,60,PhD,Married,0,1,0,65324.0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,0,0,1
2013-03-18,1,62,Graduation,Together,0,1,69,40689.0,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,0,0,5
2013-01-02,1,44,Graduation,Single,0,0,89,18589.0,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,0,0,6
2013-05-27,1,37,Graduation,Married,1,1,4,53359.0,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,0,0,4
2013-02-20,1,27,Graduation,Single,1,0,19,0.0,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,0,0,3
2013-05-31,1,24,Graduation,Married,1,0,26,38360.0,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,0,0,2
2013-11-22,1,48,PhD,Married,0,0,96,84618.0,684,100,801,21,66,0,1,6,9,10,2,0,0,0,0,1,0,0,0,1,6
2014-05-22,0,25,Master,Divorced,0,0,34,10979.0,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,0,0,6
2013-05-11,1,50,Master,Together,0,0,56,38620.0,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,0,0,3
2012-10-10,2,42,Graduation,Together,0,1,31,40548.0,110,0,5,2,0,3,2,2,1,4,5,0,0,0,1,0,0,0,0,1,2
2012-10-29,2,60,PhD,Divorced,0,2,8,46610.0,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,0,0,4
2013-02-20,1,67,Master,Married,0,0,4,68657.0,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,0,0,1
2013-08-29,1,62,Master,Single,1,1,55,49389.0,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,0,0,2
2013-12-31,1,43,PhD,Married,0,1,37,67353.0,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,0,0,5
2013-09-02,1,37,2n Cycle,Married,1,0,76,23718.0,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,0,0,5
2014-02-11,0,41,Graduation,Widow,0,1,99,42429.0,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,0,0,6
2013-02-01,1,70,PhD,Divorced,0,0,53,48948.0,437,8,206,160,49,42,2,7,10,5,6,0,0,1,0,0,0,1,0,1,2
2013-04-29,1,33,Graduation,Married,0,1,3,80011.0,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,0,0,3
2013-03-12,1,28,Master,Married,1,0,88,20559.0,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,0,0,6
2012-12-24,2,55,Graduation,Together,0,1,4,21994.0,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,0,0,1
2013-11-05,1,54,PhD,Single,0,0,80,0.0,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,0,0,5
2013-10-02,1,38,Master,Married,1,0,19,7500.0,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,0,0,1
2014-06-28,0,38,Graduation,Single,0,0,72,79941.0,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,0,0,3
2012-11-09,2,16,2n Cycle,Married,0,0,24,7500.0,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,0,0,3
2013-05-24,1,45,Graduation,Together,1,0,92,41728.0,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,0,0,6
2014-01-01,0,63,Graduation,Single,2,1,96,0.0,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,0,0,6
2012-11-08,2,58,PhD,Married,1,1,39,72550.0,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,0,0,4
2014-05-12,0,57,Graduation,Widow,0,1,29,65486.0,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,0,0,1
2012-08-11,2,48,Master,Married,0,0,2,79143.0,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,0,0,4
2013-01-02,1,36,Graduation,Single,1,0,54,35790.0,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,0,0,6
2014-06-07,0,37,Graduation,Divorced,0,0,54,82582.0,510,120,550,156,40,241,1,4,9,7,1,1,0,1,0,0,0,1,1,2,3
2013-06-12,1,35,Graduation,Married,1,1,57,66373.0,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,0,0,3
2012-11-19,2,57,Master,Together,0,0,55,82384.0,984,51,432,180,120,190,1,3,10,13,1,0,0,0,0,1,0,1,0,1,3
2013-04-02,1,47,Graduation,Divorced,0,0,30,70287.0,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,0,0,4
2014-04-28,0,26,Graduation,Single,1,0,31,27938.0,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,0,0,2
2013-06-17,1,31,Graduation,Single,1,0,57,0.0,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,0,0,6
2014-03-03,0,46,PhD,Married,0,1,63,55954.0,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,0,0,5
2013-07-04,1,31,Master,Single,0,0,12,75777.0,712,26,538,69,13,80,1,3,6,11,1,0,0,0,1,1,0,1,0,2,3
2012-09-07,2,37,Graduation,Together,1,1,18,66653.0,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,0,0,1
2013-02-18,1,61,Graduation,Single,0,1,26,61823.0,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,0,0,3
2013-06-11,1,62,PhD,Widow,0,1,8,67680.0,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,0,0,1
2013-12-06,1,65,Graduation,Together,0,0,29,70666.0,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,0,0,4
2013-05-21,1,42,Graduation,Married,1,0,75,25721.0,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,0,0,6
2014-05-11,0,47,Graduation,Together,1,1,0,32474.0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,0,0,1
2014-03-19,0,35,2n Cycle,Single,0,1,19,88194.0,688,14,309,201,24,38,1,11,10,10,5,1,0,1,0,0,0,1,1,2,4
2013-09-27,1,55,Graduation,Together,0,1,4,69096.0,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,0,0,3
